Name,Ticker,Sector,Industry
A E C I Ltd,,Basic Materials,Chemicals - Major Diversified
A. Schulman,,Basic Materials,Chemicals - Major Diversified
Aarti Industries Ltd,,Basic Materials,Chemicals - Major Diversified
Aceto Corp.,,Basic Materials,Chemicals - Major Diversified
Aditya Birla Chemicals,,Basic Materials,Chemicals - Major Diversified
Advance Petrochemicals Ltd.,,Basic Materials,Chemicals - Major Diversified
African Oxygen Ltd,,Basic Materials,Chemicals - Major Diversified
Air Liquide SA,,Basic Materials,Chemicals - Major Diversified
Air Products & Chemicals Inc,,Basic Materials,Chemicals - Major Diversified
Air Products & Chemicals Inc.,,Basic Materials,Chemicals - Major Diversified
Airgas Inc,,Basic Materials,Chemicals - Major Diversified
Airgas,,Basic Materials,Chemicals - Major Diversified
AksharChem (India) Ltd,,Basic Materials,Chemicals - Major Diversified
Alufluoride Ltd,,Basic Materials,Chemicals - Major Diversified
AlumiFuel Power Corp.,,Basic Materials,Chemicals - Major Diversified
Amines & Plasticizers Ltd,,Basic Materials,Chemicals - Major Diversified
Anchun International,,Basic Materials,Chemicals - Major Diversified
Andhra Petrochemicals Ltd,,Basic Materials,Chemicals - Major Diversified
Andhra Sugars Ltd,,Basic Materials,Chemicals - Major Diversified
Antaria Ltd,,Basic Materials,Chemicals - Major Diversified
Archit Organosys Ltd,,Basic Materials,Chemicals - Major Diversified
Argex Titanium Inc,,Basic Materials,Chemicals - Major Diversified
Arkema,,Basic Materials,Chemicals - Major Diversified
Asahi Kasei Corp,,Basic Materials,Chemicals - Major Diversified
Asahi Songwon Colors Ltd,,Basic Materials,Chemicals - Major Diversified
Ashland Inc,,Basic Materials,Chemicals - Major Diversified
Ashland Inc.,,Basic Materials,Chemicals - Major Diversified
Asian Petroproducts,,Basic Materials,Chemicals - Major Diversified
Astec Lifesciences Ltd,,Basic Materials,Chemicals - Major Diversified
Atul Ltd,,Basic Materials,Chemicals - Major Diversified
Avon Organics Ltd,,Basic Materials,Chemicals - Major Diversified
Axiall Corp,,Basic Materials,Chemicals - Major Diversified
Bachem Holding AG,,Basic Materials,Chemicals - Major Diversified
Balchem Corp.,,Basic Materials,Chemicals - Major Diversified
Barito Pacific Tbk,,Basic Materials,Chemicals - Major Diversified
BASF India Ltd,,Basic Materials,Chemicals - Major Diversified
Basf SE,,Basic Materials,Chemicals - Major Diversified
Bhagawati Gas Ltd,,Basic Materials,Chemicals - Major Diversified
Bhansali Eng Polymers,,Basic Materials,Chemicals - Major Diversified
BioAmber Inc.,,Basic Materials,Chemicals - Major Diversified
Boero Bartolomeo,,Basic Materials,Chemicals - Major Diversified
Braskem S.A.,,Basic Materials,Chemicals - Major Diversified
Braskem SA,,Basic Materials,Chemicals - Major Diversified
Camphor & Allied Products Ltd,,Basic Materials,Chemicals - Major Diversified
Campine,,Basic Materials,Chemicals - Major Diversified
Carboclor SA,,Basic Materials,Chemicals - Major Diversified
Celanese Corp,,Basic Materials,Chemicals - Major Diversified
Celanese Corporation,,Basic Materials,Chemicals - Major Diversified
Cereplast,,Basic Materials,Chemicals - Major Diversified
Changmao Biochemical,,Basic Materials,Chemicals - Major Diversified
Chemical & Mining Co. of Chile,,Basic Materials,Chemicals - Major Diversified
Chemical Industries (F.E),,Basic Materials,Chemicals - Major Diversified
China Energy Ltd,,Basic Materials,Chemicals - Major Diversified
China Zenith Chemical,,Basic Materials,Chemicals - Major Diversified
ChromaDex Corporation,,Basic Materials,Chemicals - Major Diversified
Clean Diesel Technologies Inc.,,Basic Materials,Chemicals - Major Diversified
Cydsa SAB de CV,,Basic Materials,Chemicals - Major Diversified
DCW Ltd,,Basic Materials,Chemicals - Major Diversified
Deepak Nitrite Ltd,,Basic Materials,Chemicals - Major Diversified
Denki Kagaku Kogyo KK,,Basic Materials,Chemicals - Major Diversified
Dharamsi Morarji Chemical,,Basic Materials,Chemicals - Major Diversified
Dhoot Industrial Finance Ltd,,Basic Materials,Chemicals - Major Diversified
Diamines & Chemicals Ltd,,Basic Materials,Chemicals - Major Diversified
DIC India Ltd,,Basic Materials,Chemicals - Major Diversified
Dottikon ES Holding AG,,Basic Materials,Chemicals - Major Diversified
Dow Chemical Co,,Basic Materials,Chemicals - Major Diversified
Dynamic Colours Ltd,,Basic Materials,Chemicals - Major Diversified
Eastman Chemical Co,,Basic Materials,Chemicals - Major Diversified
Eastman Chemical Co.,,Basic Materials,Chemicals - Major Diversified
EcoGreen Fine Chemicals,,Basic Materials,Chemicals - Major Diversified
Elekeiroz SA,,Basic Materials,Chemicals - Major Diversified
Ellenbarrie Industrial Ga,,Basic Materials,Chemicals - Major Diversified
Ems-Chemie Holding AG,,Basic Materials,Chemicals - Major Diversified
Ercros SA,,Basic Materials,Chemicals - Major Diversified
Explosifs et Produits,,Basic Materials,Chemicals - Major Diversified
Fischer Chemic Ltd,,Basic Materials,Chemicals - Major Diversified
FMC Corp.,,Basic Materials,Chemicals - Major Diversified
FMC Corporation,,Basic Materials,Chemicals - Major Diversified
Foseco India Ltd,,Basic Materials,Chemicals - Major Diversified
Fuchs Petrolub SE,,Basic Materials,Chemicals - Major Diversified
Fufeng Group Ltd.,,Basic Materials,Chemicals - Major Diversified
FutureFuel Corp.,,Basic Materials,Chemicals - Major Diversified
Genus Prime Infra Ltd,,Basic Materials,Chemicals - Major Diversified
Gevo,,Basic Materials,Chemicals - Major Diversified
GHCL Ltd,,Basic Materials,Chemicals - Major Diversified
Godrej Industries Ltd,,Basic Materials,Chemicals - Major Diversified
GPC Participacoes SA,,Basic Materials,Chemicals - Major Diversified
Greenfield Chemical,,Basic Materials,Chemicals - Major Diversified
Grupo Pochteca SAB de CV,,Basic Materials,Chemicals - Major Diversified
Gujarat Alkalies,,Basic Materials,Chemicals - Major Diversified
Gujarat Fertilizers&Chem.,,Basic Materials,Chemicals - Major Diversified
Gujarat Fluorochemicals Ltd,,Basic Materials,Chemicals - Major Diversified
Gulshan Polyols Ltd,,Basic Materials,Chemicals - Major Diversified
H & R AG,,Basic Materials,Chemicals - Major Diversified
Hikal Ltd,,Basic Materials,Chemicals - Major Diversified
Himadri Chemicals & Indus,,Basic Materials,Chemicals - Major Diversified
Hindustan Fluorocarbons Ltd,,Basic Materials,Chemicals - Major Diversified
Hindustan Organic Chemica,,Basic Materials,Chemicals - Major Diversified
Hitachi Chemical Co Ltd,,Basic Materials,Chemicals - Major Diversified
Huabao International,,Basic Materials,Chemicals - Major Diversified
Huabao Intl Hldgs,,Basic Materials,Chemicals - Major Diversified
Huntsman Corp,,Basic Materials,Chemicals - Major Diversified
Huntsman Corporation,,Basic Materials,Chemicals - Major Diversified
Ind-Agiv Commerce Ltd,,Basic Materials,Chemicals - Major Diversified
India Gelatine & Chemicals Ltd,,Basic Materials,Chemicals - Major Diversified
India Glycols Ltd,,Basic Materials,Chemicals - Major Diversified
Indo Amines Ltd,,Basic Materials,Chemicals - Major Diversified
Indo Borax & Chemicals Ltd,,Basic Materials,Chemicals - Major Diversified
Indorama Ventures PLC,,Basic Materials,Chemicals - Major Diversified
Insilco Ltd,,Basic Materials,Chemicals - Major Diversified
Integrated Environmental Techn,,Basic Materials,Chemicals - Major Diversified
International Parkside,,Basic Materials,Chemicals - Major Diversified
JA Energy,,Basic Materials,Chemicals - Major Diversified
Jayshree Chemicals Ltd,,Basic Materials,Chemicals - Major Diversified
JD Orgochem Ltd,,Basic Materials,Chemicals - Major Diversified
Jilin Qifeng Chemical Fib,,Basic Materials,Chemicals - Major Diversified
Jiutian Chemical Group Ltd,,Basic Materials,Chemicals - Major Diversified
Jocil Ltd,,Basic Materials,Chemicals - Major Diversified
JSC Uralkali,,Basic Materials,Chemicals - Major Diversified
JSR Corporation,,Basic Materials,Chemicals - Major Diversified
K+S Aktiengesellschaft,,Basic Materials,Chemicals - Major Diversified
Kanoria Chemicals,,Basic Materials,Chemicals - Major Diversified
Kansai Nerolac Paints Ltd,,Basic Materials,Chemicals - Major Diversified
Kemira Oyj,,Basic Materials,Chemicals - Major Diversified
Kesar Petroproducts Ltd,,Basic Materials,Chemicals - Major Diversified
Kilburn Chemicals Ltd,,Basic Materials,Chemicals - Major Diversified
Kingboard Chemical,,Basic Materials,Chemicals - Major Diversified
Kingboard Chemical Hldgs,,Basic Materials,Chemicals - Major Diversified
Ko Yo Chemical (Group) Ltd,,Basic Materials,Chemicals - Major Diversified
Kothari Petrochemicals Ltd,,Basic Materials,Chemicals - Major Diversified
Kuraray Co Ltd,,Basic Materials,Chemicals - Major Diversified
Laffans Petrochemicals Ltd,,Basic Materials,Chemicals - Major Diversified
LG Chem Ltd,,Basic Materials,Chemicals - Major Diversified
Lightbridge Corp,,Basic Materials,Chemicals - Major Diversified
Linde AG,,Basic Materials,Chemicals - Major Diversified
LSB Industries Inc,,Basic Materials,Chemicals - Major Diversified
LSB Industries Inc.,,Basic Materials,Chemicals - Major Diversified
M&G Poliester SA,,Basic Materials,Chemicals - Major Diversified
Manali Petrochemicals Ltd,,Basic Materials,Chemicals - Major Diversified
Mangalam Drugs & Organics Ltd,,Basic Materials,Chemicals - Major Diversified
Mangalam Organics Ltd,,Basic Materials,Chemicals - Major Diversified
Metabolic Explorer,,Basic Materials,Chemicals - Major Diversified
Methanex Corp,,Basic Materials,Chemicals - Major Diversified
Methes Energies International,,Basic Materials,Chemicals - Major Diversified
Mexichem SAB de CV,,Basic Materials,Chemicals - Major Diversified
Millennium Inorganic,,Basic Materials,Chemicals - Major Diversified
Minerals Technologies Inc,,Basic Materials,Chemicals - Major Diversified
Minerals Technologies Inc.,,Basic Materials,Chemicals - Major Diversified
Mitsubishi Chemical,,Basic Materials,Chemicals - Major Diversified
Mitsui Chemicals Inc,,Basic Materials,Chemicals - Major Diversified
Multibase India Ltd,,Basic Materials,Chemicals - Major Diversified
Mysore Petro Chemicals Ltd,,Basic Materials,Chemicals - Major Diversified
Nabaltec AG,,Basic Materials,Chemicals - Major Diversified
Nanophase Technologies Corp.,,Basic Materials,Chemicals - Major Diversified
National Peroxide Ltd,,Basic Materials,Chemicals - Major Diversified
