Cintas Corp, , CTAS, Business Services
Cintas Corporation, , CTAS, Business Services
Cityneon Holdings Ltd, , 5HJ, Business Services
Clarkson PLC, , CKN, Business Services
Cogent Holdings Ltd, , KJ9, Business Services
Collectors, , CLCT, Business Services
Collectors Universe Inc., , CLCT, Business Services
comScore Inc, , SCOR, Business Services
comScore, , SCOR, Business Services
Control Print Ltd, , DHR, Business Services
CoreLogic, , CLGX, Business Services
Corporate Executive Board Co, , CEB, Business Services
CPPGroup PLC, , CPP, Business Services
CRA International, , CRAI, Business Services
Crowe Horwath Australasia, , CRH, Business Services
Curaxis Pharmaceutical Corp, , CURXQ, Business Services
Daido Group Ltd., , 0544, Business Services
Dale Jarrett Racing Adventure, , DJRT, Business Services
Daniels Corporate Advisory Com, , DCAC, Business Services
DataCall Technologies, , DCLT, Business Services
Debt Resolve, , DRSV, Business Services
Deluxe Corp, , DLX, Business Services
Deluxe Corp., , DLX, Business Services
Devine Impex Ltd, , 531585, Business Services
DigitalTown, , DGTW, Business Services
Discount Coupons Corporation, , DCOU, Business Services
DJSP Enterprises, , DJSP, Business Services
DRS Data & Research Servs, , DRS, Business Services
DST Systems, , DST, Business Services
Dun & Bradstreet Corp, , DNB, Business Services
Emerchants Ltd, , EML, Business Services
Endeavor IP, , ENIP, Business Services
EnerNOC Inc, , ENOC, Business Services
EnerNOC, , ENOC, Business Services
Envestnet, , ENV, Business Services
Enviro Energy Int'l, , 1102, Business Services
Equifax Inc, , EFX, Business Services
Esha Media Research Ltd, , 531259, Business Services
ESTec Systems Corp, , ESE, Business Services
Eurinnov, , MLERI, Business Services
Euronet Worldwide Inc., , EEFT, Business Services
Evadix SA, , ALEVA, Business Services
Excel Corp., , ARG, Business Services
Exlservice Holdings, , EXLS, Business Services
Ezeatm Ltd, , EZA, Business Services
FactSet Research Systems, , FDS, Business Services
Fatfish Internet Group Ltd, , FFG, Business Services
Fiera Milano SPA, , FM, Business Services
Finet Group Ltd., , 8317, Business Services
First Global Data Ltd, , FGD, Business Services
Firstsource Solutions Limited, , FSL, Business Services
Fiserv Inc, , FISV, Business Services
Fiserv, , FISV, Business Services
FleetCor Technologies, , FLT, Business Services
Freelancer Ltd, , FLN, Business Services
FTI Consulting Inc, , FCN, Business Services
FuelStream, , FLST, Business Services
Fung Choi Media Group Ltd, , F11, Business Services
Genesis Electronics Group, , GEGI, Business Services
Genpact Limited, , G, Business Services
Genpact Ltd, , 35G, Business Services
GetFugu, , GFGU, Business Services
GL Events, , GLO, Business Services
Global Cash Access, , GCA, Business Services
Global Earth Energy, , GLER, Business Services
Global Sources Ltd, , GSOL, Business Services
Global Sources Ltd., , GSOL, Business Services
Goldin Financial Holdings Ltd., , 0530, Business Services
Grande Armee Investissement, , MLGAI, Business Services
GreenPlex Services, , GRPX, Business Services
Hackett Group Inc, , HCKT, Business Services
Hall Tees, , HTEE, Business Services
Hariyana Ship Breakers Ltd, , 526931, Business Services
Harrison Vickers & Waterman In, , HVCW, Business Services
Heartland Payment Systems Inc, , HPY, Business Services
Heartland Payment Systems, , HPY, Business Services
Higher One Holdings, , ONE, Business Services
Hill International Inc, , HIL, Business Services
HMS Holdings Corp., , HMSY, Business Services
